Subject,officialInstabilityType,contractingAuthority
https://w3id.org/italia/env/ld/ihi/intervention/dpc@19_2350/xm,,https://w3id.org/italia/env/ld/ihi/authkind/prop/dpc@19_2350/xm
https://w3id.org/italia/env/ld/ihi/lot/dait@21_0511/xm1,,https://w3id.org/italia/env/ld/ihi/authkind/attuat/dait@21_0511/xm1
https://w3id.org/italia/env/ld/ihi/lot/dait@21_3601/xm1,,https://w3id.org/italia/env/ld/ihi/authkind/attuat/dait@21_3601/xm1
https://w3id.org/italia/env/ld/ihi/intervention/dait@23_1919/xm,,https://w3id.org/italia/env/ld/ihi/authkind/autbac/dait@23_1919/xm
https://w3id.org/italia/env/ld/ihi/lot/dait@19_0601/xm1,,https://w3id.org/italia/env/ld/ihi/authkind/attuat/dait@19_0601/xm1
https://w3id.org/italia/env/ld/ihi/intervention/dait@23_0173/xm,,https://w3id.org/italia/env/ld/ihi/authkind/prop/dait@23_0173/xm
https://w3id.org/italia/env/ld/ihi/intervention/13ir003/ci,,https://w3id.org/italia/env/ld/ihi/authkind/prop/13ir003/ci
https://w3id.org/italia/env/ld/ihi/intervention/dait@23_0310/xm,,https://w3id.org/italia/env/ld/ihi/authkind/autbac/dait@23_0310/xm
https://w3id.org/italia/env/ld/ihi/intervention/173/07,,https://w3id.org/italia/env/ld/ihi/authkind/autbac/173/07
https://w3id.org/italia/env/ld/ihi/intervention/dait@21_7051/xm,,https://w3id.org/italia/env/ld/ihi/authkind/autbac/dait@21_7051/xm
https://w3id.org/italia/env/ld/ihi/lot/dait@21_3507/xm1,,https://w3id.org/italia/env/ld/ihi/authkind/attuat/dait@21_3507/xm1
https://w3id.org/italia/env/ld/ihi/intervention/dait@23_1352/xm,,https://w3id.org/italia/env/ld/ihi/authkind/autbac/dait@23_1352/xm
https://w3id.org/italia/env/ld/ihi/intervention/dait@21_2303/xm,,https://w3id.org/italia/env/ld/ihi/authkind/autbac/dait@21_2303/xm
https://w3id.org/italia/env/ld/ihi/intervention/dpc@19_3600/xm,,https://w3id.org/italia/env/ld/ihi/authkind/prop/dpc@19_3600/xm
https://w3id.org/italia/env/ld/ihi/lot/cs044a/101,,https://w3id.org/italia/env/ld/ihi/authkind/attuat/cs044a/101
https://w3id.org/italia/env/ld/ihi/intervention/dpc@19_4147/xm,,https://w3id.org/italia/env/ld/ihi/authkind/prop/dpc@19_4147/xm
https://w3id.org/italia/env/ld/ihi/intervention/dpc@19_1088/xm,,https://w3id.org/italia/env/ld/ihi/authkind/prop/dpc@19_1088/xm
https://w3id.org/italia/env/ld/ihi/lot/085/081,,https://w3id.org/italia/env/ld/ihi/authkind/attuat/085/081
https://w3id.org/italia/env/ld/ihi/lot/dait@21_5408/xm1,,https://w3id.org/italia/env/ld/ihi/authkind/attuat/dait@21_5408/xm1
https://w3id.org/italia/env/ld/ihi/lot/dait@19_0815/xm1,,https://w3id.org/italia/env/ld/ihi/authkind/attuat/dait@19_0815/xm1
https://w3id.org/italia/env/ld/ihi/intervention/dpc@19_3587/xm,,https://w3id.org/italia/env/ld/ihi/authkind/autbac/dpc@19_3587/xm
