Subject,lot
https://w3id.org/italia/env/ld/ihi/lotstep/at055a/101-210,https://w3id.org/italia/env/ld/ihi/lot/at055a/101
https://w3id.org/italia/env/ld/ihi/lotstep/064/991-180,https://w3id.org/italia/env/ld/ihi/lot/064/991
https://w3id.org/italia/env/ld/ihi/lotstep/055/021-110,https://w3id.org/italia/env/ld/ihi/lot/055/021
https://w3id.org/italia/env/ld/ihi/lotstep/dpc@19_2263/xm1-184,https://w3id.org/italia/env/ld/ihi/lot/dpc@19_2263/xm1
https://w3id.org/italia/env/ld/ihi/lotstep/dait@21_3786/xm1-172,https://w3id.org/italia/env/ld/ihi/lot/dait@21_3786/xm1
https://w3id.org/italia/env/ld/ihi/lotstep/15ird13/g11-183,https://w3id.org/italia/env/ld/ihi/lot/15ird13/g11
https://w3id.org/italia/env/ld/ihi/lotstep/rm070b/104-220,https://w3id.org/italia/env/ld/ihi/lot/rm070b/104
https://w3id.org/italia/env/ld/ihi/lotstep/dpc@19_0340/xm1-172,https://w3id.org/italia/env/ld/ihi/lot/dpc@19_0340/xm1
https://w3id.org/italia/env/ld/ihi/lotstep/dait@21_0767/xm1-172,https://w3id.org/italia/env/ld/ihi/lot/dait@21_0767/xm1
https://w3id.org/italia/env/ld/ihi/lotstep/fg018a/101-190,https://w3id.org/italia/env/ld/ihi/lot/fg018a/101
https://w3id.org/italia/env/ld/ihi/lotstep/178/081-220,https://w3id.org/italia/env/ld/ihi/lot/178/081
https://w3id.org/italia/env/ld/ihi/lotstep/388/061-225,https://w3id.org/italia/env/ld/ihi/lot/388/061
https://w3id.org/italia/env/ld/ihi/lotstep/me109a/101-150,https://w3id.org/italia/env/ld/ihi/lot/me109a/101
https://w3id.org/italia/env/ld/ihi/lotstep/469/061-220,https://w3id.org/italia/env/ld/ihi/lot/469/061
https://w3id.org/italia/env/ld/ihi/lotstep/513/091-225,https://w3id.org/italia/env/ld/ihi/lot/513/091
https://w3id.org/italia/env/ld/ihi/lotstep/fg064a/101-170,https://w3id.org/italia/env/ld/ihi/lot/fg064a/101
https://w3id.org/italia/env/ld/ihi/lotstep/dait@21_3264/xm1-184,https://w3id.org/italia/env/ld/ihi/lot/dait@21_3264/xm1
https://w3id.org/italia/env/ld/ihi/lotstep/08ir048/g11-190,https://w3id.org/italia/env/ld/ihi/lot/08ir048/g11
