Subject,hasIter,label,repairRelatedTo
https://w3id.org/italia/env/ld/ihi/agreement/dait@21_1004/xm,,Decreto_Min_int_DAIT_23.02.2021,
https://w3id.org/italia/env/ld/ihi/instability/041/991di-7,,dissesto: Idraulico,
https://w3id.org/italia/env/ld/ihi/lot/dpc@19_1062/xm1,,S.P. N. 32*VIA PROVINCIALE*OCDPC LAVORI URGENTI PER LA MESSA IN SICUREZZA ED IL RIPRISTINO DELLA S.P. N. 32,
https://w3id.org/italia/env/ld/ihi/lotstep/576/991-210,,come da certificato ultimazione lavori,
https://w3id.org/italia/env/ld/ihi/lotstep/mt001b/101-70,,Nominato RUP (notizia da ReNDiS-web),
https://w3id.org/italia/env/ld/ihi/lot/dait@21_4917/xm1,,INTERVENTI DI MANUTENZIONE STRAORDINARIA E MESSA IN SICUREZZA DI TRATTI DI VIABILITA` COMUNALE,
https://w3id.org/italia/env/ld/ihi/authkind/autbac/dait@21_1640/xm,,intervento DAIT@21_1640/XM ha autorità di bacino Autorità di Bacino - Nazionale Po,
https://w3id.org/italia/env/ld/ihi/authkind/autbac/426/99,,intervento 426/99 ha autorità di bacino Autorità di Bacino - Regionale del Lazio,
https://w3id.org/italia/env/ld/ihi/lotstep/lc070a/101-220,,Certificato di regolare esecuzione firmato da Direttore Lavori (vedi invio documento),
https://w3id.org/italia/env/ld/ihi/lotstep/dait@21_5520/xm1-184,,Informazione acquisita (o confermata) da interrogazione automatica su BDAP del giorno 2024-11-21,
https://w3id.org/italia/env/ld/ihi/authkind/attuat/dpc@19_3957/xm1,,intervento DPC@19_3957/XM ha ente attuatore Comune - PRIMIERO SAN MARTINO DI CASTROZZA,
https://w3id.org/italia/env/ld/ihi/intervention/dpc@19_1057/xm,,S.P. N. 35 ( NICOTERA-SS. 18)*VIA PROVINCIALE*LAVORI URGENTI PER LA MESSA IN SICUREZZA ED IL RIPRISTINO DELLA S. P. N. 35 (NICOTERA - SS. 18),
https://w3id.org/italia/env/ld/ihi/lotstep/dpc@19_4186/xm1-172,,Informazione acquisita (o confermata) da interrogazione automatica su BDAP del giorno 2023-07-24,
https://w3id.org/italia/env/ld/ihi/lotstep/069/991-220,,relazione acclarante,
https://w3id.org/italia/env/ld/ihi/authkind/attuat/dpc@19_2440/xm1,,intervento DPC@19_2440/XM ha ente attuatore Comune - OVARO,
https://w3id.org/italia/env/ld/ihi/intervention/dait@21_6082/xm,,"""ASFALTATURA STRADE BIANCHE ZONE C DEL CENTRO ABITATO, REALIZZAZIONE MARCIAPIEDI E DI RETI DI FOGNATURA BIANCA.""",
https://w3id.org/italia/env/ld/ihi/lithology/244/071lf-21,,litologia relativa all'intervento 244/071,
https://w3id.org/italia/env/ld/ihi/authkind/attuat/dpc@19_1898/xm1,,intervento DPC@19_1898/XM ha ente attuatore Comune - BOMPORTO,
https://w3id.org/italia/env/ld/ihi/repair/104/021sf-32,,opere realizzate per l'intervento 104/021,
https://w3id.org/italia/env/ld/ihi/lotstep/dait@21_2030/xm1-142,,Informazione acquisita (o confermata) da interrogazione automatica su BDAP del giorno 2024-11-21,
https://w3id.org/italia/env/ld/ihi/lotstep/dait@21_7354/xm1-132,,Informazione acquisita (o confermata) da interrogazione automatica su BDAP del giorno 2024-11-21,
https://w3id.org/italia/env/ld/ihi/intervention/18ir999/g1,,Mitigazione del rischio idrogeologico e ripristino officiosità idraulica del Fiume Crati,
https://w3id.org/italia/env/ld/ihi/lotstep/dait@21_5984/xm1-142,,Informazione acquisita (o confermata) da interrogazione automatica su BDAP del giorno 2023-09-07,
https://w3id.org/italia/env/ld/ihi/authkind/autbac/dait@21_5338/xm,,intervento DAIT@21_5338/XM ha autorità di bacino Autorità di Bacino - Regionale delle Marche,
https://w3id.org/italia/env/ld/ihi/lot/dait@23_1346/xm1,,"""INTERVENTO DI MESSA IN SICUREZZA TERRITORIO A RISCHIO IDROGEOLOGICO A PROTEZIONE DELLABITATO DI SORIATE, CANTONE, FERZONICO E VIA EUROPA.*VIA SORIATE, EUROPA,FERZONICO CANTONE*INTERVENTO DI MESSA IN SICUREZZA TERRITORIO A RISCHIO IDROGEOLOGICO A PROTEZI""",
https://w3id.org/italia/env/ld/ihi/lotstep/dait@21_4953/xm1-184,,Informazione acquisita (o confermata) da interrogazione automatica su BDAP del giorno 2024-11-21,
