Subject,hasStep
https://w3id.org/italia/env/ld/ihi/lotstep/dpc@19_3041/xm1-172,https://w3id.org/italia/env/ld/skos/ihi/steptype/172
https://w3id.org/italia/env/ld/ihi/lotstep/bo052a/103-190,https://w3id.org/italia/env/ld/skos/ihi/steptype/190
https://w3id.org/italia/env/ld/ihi/lotstep/fg078a/101-150,https://w3id.org/italia/env/ld/skos/ihi/steptype/150
https://w3id.org/italia/env/ld/ihi/lotstep/dait@21_0539/xm1-223,https://w3id.org/italia/env/ld/skos/ihi/steptype/223
https://w3id.org/italia/env/ld/ihi/lotstep/ms040a/101-220,https://w3id.org/italia/env/ld/skos/ihi/steptype/220
https://w3id.org/italia/env/ld/ihi/lotstep/me130a/101-228,https://w3id.org/italia/env/ld/skos/ihi/steptype/228
https://w3id.org/italia/env/ld/ihi/lotstep/dpc@19_0273/xm1-152,https://w3id.org/italia/env/ld/skos/ihi/steptype/152
https://w3id.org/italia/env/ld/ihi/lotstep/pg007a/1010-210,https://w3id.org/italia/env/ld/skos/ihi/steptype/210
https://w3id.org/italia/env/ld/ihi/lotstep/cb001a/101-220,https://w3id.org/italia/env/ld/skos/ihi/steptype/220
https://w3id.org/italia/env/ld/ihi/lotstep/dait@21_4630/xm1-172,https://w3id.org/italia/env/ld/skos/ihi/steptype/172
https://w3id.org/italia/env/ld/ihi/lotstep/09ir707/g12-180,https://w3id.org/italia/env/ld/skos/ihi/steptype/180
https://w3id.org/italia/env/ld/ihi/lotstep/252/091-140,https://w3id.org/italia/env/ld/skos/ihi/steptype/140
https://w3id.org/italia/env/ld/ihi/lotstep/dait@21_6348/xm1-142,https://w3id.org/italia/env/ld/skos/ihi/steptype/142
https://w3id.org/italia/env/ld/ihi/lotstep/357/991-110,https://w3id.org/italia/env/ld/skos/ihi/steptype/110
https://w3id.org/italia/env/ld/ihi/lotstep/295/091-170,https://w3id.org/italia/env/ld/skos/ihi/steptype/170
https://w3id.org/italia/env/ld/ihi/lotstep/dait@21_0339/xm1-172,https://w3id.org/italia/env/ld/skos/ihi/steptype/172
https://w3id.org/italia/env/ld/ihi/lotstep/146/062-190,https://w3id.org/italia/env/ld/skos/ihi/steptype/190
https://w3id.org/italia/env/ld/ihi/lotstep/dait@21_2122/xm1-184,https://w3id.org/italia/env/ld/skos/ihi/steptype/184
https://w3id.org/italia/env/ld/ihi/lotstep/098/021-120,https://w3id.org/italia/env/ld/skos/ihi/steptype/120
https://w3id.org/italia/env/ld/ihi/lotstep/mc081b/101-180,https://w3id.org/italia/env/ld/skos/ihi/steptype/180
https://w3id.org/italia/env/ld/ihi/lotstep/18ir272/g11-115,https://w3id.org/italia/env/ld/skos/ihi/steptype/115
https://w3id.org/italia/env/ld/ihi/lotstep/18ir054/g11-223,https://w3id.org/italia/env/ld/skos/ihi/steptype/223
https://w3id.org/italia/env/ld/ihi/lotstep/ms036a/101-170,https://w3id.org/italia/env/ld/skos/ihi/steptype/170
https://w3id.org/italia/env/ld/ihi/lotstep/dpc@19_1989/xm1-226,https://w3id.org/italia/env/ld/skos/ihi/steptype/226
https://w3id.org/italia/env/ld/ihi/lotstep/358/081-130,https://w3id.org/italia/env/ld/skos/ihi/steptype/130
https://w3id.org/italia/env/ld/ihi/lotstep/dpc@19_3120/xm1-229,https://w3id.org/italia/env/ld/skos/ihi/steptype/229
https://w3id.org/italia/env/ld/ihi/lotstep/dait@21_1018/xm1-152,https://w3id.org/italia/env/ld/skos/ihi/steptype/152
https://w3id.org/italia/env/ld/ihi/lotstep/dait@21_4898/xm1-172,https://w3id.org/italia/env/ld/skos/ihi/steptype/172
https://w3id.org/italia/env/ld/ihi/lotstep/dait@21_0886/xm1-172,https://w3id.org/italia/env/ld/skos/ihi/steptype/172
https://w3id.org/italia/env/ld/ihi/lotstep/mn100b/101-150,https://w3id.org/italia/env/ld/skos/ihi/steptype/150
https://w3id.org/italia/env/ld/ihi/lotstep/dpc@19_1720/xm1-152,https://w3id.org/italia/env/ld/skos/ihi/steptype/152
https://w3id.org/italia/env/ld/ihi/lotstep/dait@21_6021/xm1-142,https://w3id.org/italia/env/ld/skos/ihi/steptype/142
