Subject,hasStep,Date
https://w3id.org/italia/env/ld/ihi/lotstep/dpc@19_0001/xm1-226,,2022-12-30
https://w3id.org/italia/env/ld/ihi/agreement/dait@21_7567/xm,,2021-05-03
https://w3id.org/italia/env/ld/ihi/lotstep/si025a/101-190,,2014-05-19
https://w3id.org/italia/env/ld/ihi/lotstep/dpc@19_1598/xm1-82,,2019-11-12
https://w3id.org/italia/env/ld/ihi/lotstep/dait@21_7224/xm1-172,,2021-08-04
https://w3id.org/italia/env/ld/ihi/lotstep/dait@21_0777/xm1-115,,2020-08-10
https://w3id.org/italia/env/ld/ihi/lotstep/dait@21_7472/xm1-102,,2021-01-11
https://w3id.org/italia/env/ld/ihi/agreement/cn096a/10,,2010-11-17
https://w3id.org/italia/env/ld/ihi/lotstep/dpc@19_0296/xm1-172,,2022-08-03
https://w3id.org/italia/env/ld/ihi/lotstep/va153a/101-180,,2014-11-12
https://w3id.org/italia/env/ld/ihi/lotstep/525/991-100,,2006-10-07
https://w3id.org/italia/env/ld/ihi/agreement/dait@21_4503/xm,,2021-11-08
https://w3id.org/italia/env/ld/ihi/lotstep/18ir477/g11-102,,2017-12-31
https://w3id.org/italia/env/ld/ihi/agreement/dait@21_1171/xm,,2021-02-23
https://w3id.org/italia/env/ld/ihi/lotstep/324/091-220,,2016-02-09
https://w3id.org/italia/env/ld/ihi/lotstep/dpc@19_4686/xm1-223,,2021-12-03
https://w3id.org/italia/env/ld/ihi/agreement/16ir636/g1,,2017-11-22
https://w3id.org/italia/env/ld/ihi/lotstep/dpc@19_5134/xm1-142,,2019-06-10
https://w3id.org/italia/env/ld/ihi/lotstep/dait@23_1018/xm1-184,,2024-05-23
https://w3id.org/italia/env/ld/ihi/agreement/dait@23_1757/xm,,2023-05-19
https://w3id.org/italia/env/ld/ihi/lotstep/dait@21_7514/xm1-152,,2021-07-27
https://w3id.org/italia/env/ld/ihi/agreement/dait@19_0320/xm,,2019-12-30
